receiver,name
,12-10-17 - Panel-Commission - Response Letter - Status Update for the Enbridge Northern Gateway Project - A3C4V7
Emera Brunswick Pipeline Company Ltd.,A-01 NEB - Brunswick Pipeline Project - Proposed Re-Routes of Galbraith Areas 1 and 2 (A1E3Z0)
TransCanada PipeLines Limited,A-02 - Letter to NGTL regarding Hearing Order GH-2-2010 – Extension of Deadline for Application to Intervene - A1S8D3 
Enbridge Pipelines Inc.,A-03A - 21 September 2011 Letter to Enbridge Pipelines Inc.  - A2D2R6
Enbridge Pipelines Inc.,A-07A - Letter to Enbridge Pipelines Inc regarding an extension to the deadline - A2K5H8
Enbridge Pipelines (Westspur) Inc.,A-1-a - Letter to Company with Appendices III and IV 0A0X9I6
Sea Breeze Victoria Converter Corporation,A-17 Letter to Sea Breeze dated 28 April 2006 outlining required additional procedural steps  (A0U1D1)
Sea Breeze Victoria Converter Corporation,A-18 Board letter dated 2 May 2006 approving Sea Breeze s request to amend the publication requirements (A0U1Q8)
Emera Brunswick Pipeline Company Ltd.,A-20 Request for Approval of Substituted Service - Estate of the late Thomas Bean - PID 00336420 - Letter and Order MO-13-2007 (A1C2R2)
Enbridge Pipelines Inc.,A-25 - Letter re late request to give Oral Statement from Alberta Environment A1D1J6
Emera Brunswick Pipeline Company Ltd.,A-3A Approval of sample of Notice for Publication (A1A0Z7)
TransCanada PipeLines Limited,A-4B - Letter to Madame Campbell - Response to Madame Campbell s request to translation of documents  A0Z9W7
NOVA Gas Transmission Ltd.,A-8A  - List of Issues Letter  - A2R4D8
,A07144-1 NEB – Letter – Certificate GC-109 – GSX PL – GH-4-2001
,A0E1T2 - Letter
EnCana Corporation,A0E2X8 - Letter
,A0E5Q4 - Letter
EnCana Corporation,A0E9D2 - Letter
Hydro One Networks Inc.,A0E9I5 - Letter
,A0F7H6 - Letter
,A0F7H7 - Letter
,A0F7H8 - Letter
,A0F7H9 - Letter
,A0F7I0 - Letter
,A0F7I2 - Letter
,A0F7I3 - Letter
,A0F7I4 - Letter
,A0F7I5 - Letter
,A0F7I6 - Letter
,A0F7I7 - Letter
TransCanada PipeLines Limited,A0F9A3 - Letter
,A0G1E4 - Letter
TransGas Limited,A0G3H1 - Letter
The Queen in Right of the Province of New Brunswick,A0G4K3 - Letter
,A0G5F2 - Letter
,A0H1G2 - Proposed Amendment to the OPR 1999 - Decommissioning of Pipelines and Related Facilities
British Columbia Hydro and Power Authority,A0H2L7 - Update of Electricity Memorandum of Guidance
,A0H2T9 - Letter
,A0H2U7 - Letter
Georgia Strait Crossing Pipeline Limited,A0H3V2 - Letter
,A0H3Y5 - Letter
TransCanada PipeLines Limited,A0H4F6 - Letter
EnCana Corporation,A0H4Y5 - Letter
EnCana Ekwan Pipeline Inc.,A0I2F2 - 03-04-25 Hearing Order GH-1-2003
"USGen New England, Inc.",A0I2U1 - Letter
,A0I3F9 - Procedural Update No 2 - 28 March 2003
,A0I3G2 - Procedural Update No 3 - 16 April 2003
,A0I3G7 - Procedural Update No 4 - 1 May 2003
Trans-Northern Pipelines Inc,A0I4S3 - Letter
Trans-Northern Pipelines Inc,A0I5Z0 - Letter re Draft Screening Report
,A0I6W0 - Letter
Trans-Northern Pipelines Inc,A0J2R9 - Letter
EnCana Ekwan Pipeline Inc.,A0J3J3 - Letter
Trans-Northern Pipelines Inc,"A0J3S7 - Paragraph 34(1)(b) Notice Approval, Requirements of Plan, Profile and Book of Reference"
,A0J3W1 - Letter and Draft Guidelines for Filing Requirements
,A0J3W2 - Lettre et ébauche des Directives sur les exigences de dépôt
Enbridge Pipelines Inc.,A0J4K8 - 2003-11-28 Letter to Companies re Rate of Return on Common Equity for 2004
Trans-Northern Pipelines Inc,A0J7R8 - Letter
TransCanada PipeLines Limited,A0J7X7 - NEB letter dated 12 February 2004 to TransCanada re 2004 Tolls Application
Trans-Northern Pipelines Inc,A0J9J7 - Letter
,A0K1I1 - Letter
TransCanada PipeLines Limited,A0K2R8 - Letter
Trans-Northern Pipelines Inc,A0K4W9 - NEB letter dated 21 May 2004 re TNPI - Capacity Expansion Line Reversal Paragraph 34(1)(b) Notice Approval - Requirements of the PPBoR - Kingston Pumping Station
,A0K5C2 - Letter
British Columbia Hydro and Power Authority,A0K6U8 - Letter and Draft Model Conditions for International Power Lines
Trans-Northern Pipelines Inc,A0K8F1 - Letter to TNPI - paragraph 34(1)(b) Notice Approval - PPBoR
,A0L0K3 - Letter from Rabaska LNG Project to the Board - Railway spur
Gazoduc Trans Quebec & Maritimes Inc,A0L2Z5 - Letter and Track Report to Minister Dion
,A0L7U9 - NEB Non-hearing Cycle Time 
TransCanada PipeLines Limited,A0Q2A0 - Letter
TransCanada PipeLines Limited,A0Q2A3 - Letter
,A0Q2U8 - Board letter dated 5 November 2004
TransCanada PipeLines Limited,A0Q3C9 - Board letter dated 11 March 2005
TransCanada PipeLines Limited,A0Q3L8 - Board letter dated 18 March 2005
,"A0Q5H8 - Requirements and Guidences Notes, Operations and Maintenance Activities on NEB-Regulated Facilities"
,A0Q5Z4 - Draft  for Consultation Goal Oriented Drilling and Production Regulation
TransCanada PipeLines Limited,A0Q8K5 - Letter - Les Cèdres Pipeline Project
TransCanada PipeLines Limited,A0Q9H9 - Letter
TransCanada PipeLines Limited,A0R1F0 - Letter
TransCanada PipeLines Limited,A0R5Q0 - Ruling on the Request for Further Responses
Alliance Pipeline Ltd,A0R5W1 - Letter
Imperial Oil,A0R6R8 - Intervention Duncans First Nation
Westcoast Energy Inc.,A0R6V0 - Confirmation of Publication of Notice of Public Hearing
Enbridge Pipelines Inc.,A0S4A6 - Letter
,A0T0J2 - Resolution number CE-2006-4-DEC (NEB translation to english)
,A0T0T6 - Letter
Canada Inc.,A0T4U9 - Letter and Order
Montana Alberta Tie Ltd.,A0T5Y7 - Letter
,A0T9Z1 - Letter
TransCanada PipeLines Limited,A0U5V6 - Board letter to TransCanada re request from UPA
,A0X7I8 - TMX Anchor Loop - Approval of sample of Notice of Publication
TransCanada PipeLines Limited,A0Z2Y2 - Letter
TransCanada PipeLines Limited,A0Z7D4 - Letter
,A11-1 - Letter - Application to Participate - A3J0Z4
,A120-1 - Procedural Direction 5 - Community Hearings for Oral Statements - A2Q5L1
,A123-1 - Mr. Samuel Harrison - Request to Withdraw as an Intervenor and Present an Oral Statement - (English and French) - A2Q7L8
,A125-1 - Late Request to Make an Oral Statement at Community Hearings (English and French) - A2Q9T9
,A127-1 - Ruling no.33 Notice of Motion from Heiltsuk Tribal Council  (English and French) - A2R0X7
Trans Mountain Pipeline ULC,A151-1 - Letter to Adam Olsen - Oral Aboriginal traditional evidence - availability of audio recordings - A4K4S6
Trans Mountain Pipeline ULC,A17-1 - RH-001-2011 Procedural Update Oral Hearing Details - A3F1Y0
,A182-1 - Panel Letter - Procedural Direction #8 Final Hearings - A2U5X3
Enbridge Pipelines Inc.,A18714-1 NEB – Letter – Enbridge – LSr Pipeline – Certificate OC-53 – OH-3-2007
Emera Brunswick Pipeline Company Ltd.,A19428-1 – NEB – Letter – Emera Brunswick – Detailed Route Hearing – MH-1-2008
NOVA Gas Transmission Ltd.,A19 - Letter to Chard Métis - Request for Oral Translator Chipewyan Dené to English
,A1A1G7 - Letter - EBPC Response to NEB Aug 16 letter
,A1A2W1 - Letter NEB Notification of Publication
Enbridge Pipelines Inc.,A1C2R6 - Letter
TransCanada PipeLines Limited,A1C8Q0 - Letter
TransCanada Keystone Pipeline GP Ltd.,A1D5C2 - 2008-02-22 - Letter Re Notification of MB Publications and Service for PPBoR
TransCanada PipeLines Limited,"A1D8C9 - Approval of sample Notice for Service and Publication and  form of Plan, Profile and Book of Reference"
Enbridge Pipelines (Westspur) Inc.,A1D8Y4 - Approval of the sample Notice for Publication pursuant to Section 34 of the National Energy Board Act and Paragraph 50(1)(a) of the Board’s Rules of Practice and Procedure
TransCanada PipeLines Limited,A1E1J7 - NEB approval of sample notice of service   notice of publication and form of PPBoR
TransCanada PipeLines Limited,A1E4W3 - Keystone Pipeline Project - Conversion Segment - Approval of sample Notices for Service and Publication
Emera Brunswick Pipeline Company Ltd.,A1E4Z8 - 1. Areas 3 and 4 Reroute Application   29April2008
Emera Brunswick Pipeline Company Ltd.,A1E5Y6 - Letter
,A1F3E6 - Letter-NEB-Notice of publication and service for Galbraith Area 4
Enbridge Pipelines Inc.,A1F4T6 - Board Approval of Form of Notice for Publication
,A1F4T8 - Board Approval of Form of Notice for Publication
,A1F5G6 - Letter-NEB-Notification of Completion Dates
TransCanada Keystone Pipeline GP Ltd.,A1F5Q2 - Confirmation of Notice for Service and Publication - Alberta-Saskatchewan Segment
TransCanada Keystone Pipeline GP Ltd.,A1F7R1 - 2008-06-23 - Dates of Service  Publication Krahn Estate Substituted Service
Enbridge Pipelines Inc.,A1F9R4 - Letter to Enbridge Pipelines Inc. - re Line 4 Extension Projet - Certificate OC55 - Approval of Sample Notices for Service and Publication
EnCana Corporation,"A1G0Y8 - Letter to EnCana Corporation - Approval of sample section 34(1)(a) Notice for Service, section 34(1)(b) Notice for Publication and form of the PPBoR"
EnCana Corporation,A1G2Z0 - 08-07-25 Letter NEB (Section 34 Notices - Publication
Trans Mountain Pipeline Inc.,A1H2Z7 - Trans Mountain Pipeline Inc. Advance Notice of the RH-4-2008 Reasons for Decision Release
Enbridge Pipelines Inc.,A1H5H8 - Letter to Enbridge Pipelines Inc. - Line 4 Extension Project - Certificate OC-55 - Approval of sample Notices for Service and Publication and form of the PPBoR
Enbridge Pipelines Inc.,A1H5Z9 - Board Letter dated 31 October 2008 - Enbridge Pipelines Inc - Certificates OC-54 Alberta Clipper and C-53 Southern Lights
Enbridge Pipelines Inc.,A1I0V7 - Letter to Enbridge Pipelines Inc. - Line 4 Extension Project - Approval of sample Notices for Services and Publication and form of the PPBoR
TransCanada PipeLines Limited,A1I3E5 - Letter - Duncan s First Nation
TransCanada PipeLines Limited,A1I3E7 - Letter - Horse Lake First Nation
TransCanada PipeLines Limited,A1I3E9 - Letter - Kelly Lake Cree Nation
TransCanada PipeLines Limited,A1I3F1 - Letter - Kelly Lake First Nation
TransCanada PipeLines Limited,A1I3F3 - Letter - Kelly Lake Métis Settlement Society
TransCanada PipeLines Limited,A1I3F5 - Letter - Tsek hene (McLeod Lake) First Nation
TransCanada PipeLines Limited,A1I3F7 - Letter - Saulteau First Nation (East Moberly)
TransCanada PipeLines Limited,A1I3F9 - Letter - West Moberly Lake First Nation
TransCanada PipeLines Limited,A1I3G1 - Letter - Lheidli T enneh (Fort George) First Nation
TransCanada PipeLines Limited,A1I3G3 - Letter - Halfway River First Nation
TransCanada PipeLines Limited,A1I3G5 - Letter - Tsay Keh Dene First Nation
Westcoast Energy Inc.,A1I5J7 - Schedule B - Individual Ownership Plan
,A1I5X9 - Board Letter dated 26 January 2009 - South Peace Pipeline Project - Approval of draft form of PPBoRs - Notice for service and publication
Alliance Pipeline Ltd,A1J2J6 - Multi-Pipeline Cost of Capital (RH-2-94)
SemCAMS Redwillow ULC,A1J2S8 - Cover letter
Scotia Capital Energy Inc,A1J3L6 - SCOTIA CAPITAL ENERGY INC. LT NEB APRIL 2 09
,A1J3T1 - Letter
TransCanada PipeLines Limited,A1J4Q1 - Letter
Alliance Pipeline Ltd,A1J6X6 - Letter to Parties
SemCAMS Redwillow ULC,A1J7T6 - SemCAMS Redwillow ULC - Redwillow Pipeline Project - Certificate GC-114 Publication Plan
Westcoast Energy Inc.,A1K4D4 - Letter to Spectra Energy re 9 July 2006 ruptures of the Pine River Gas Plant Sulphur Pipeline
Trans Québec & Maritimes Pipeline Inc,A1L3J2 - NEB Letter to TQM   Lettre de l Office envoyée à TQM 
Imperial Oil,A1Q3U3 - Letter to Imperial regarding request for extension for filing submission
TransCanada PipeLines Limited,A1Q4S6 - Letter to Madame H. Campbell re. Landowner complaint received 4 September 2009 - TransCanada PipeLines Limited St-Sebastien Project on lots 185 and 186
Union Gas Limited,A1Q7V1 - Confirmation of Publications
Cenovus Energy Inc,A1Q9I8 - Letter
,A1R2Q9 - Letter to Parties for the Land Matters Consultation Initiative Stream 4 and the Draft terms of reference for the Pipeline Abandonment  Physical Issues Committee
Centre Lane Trading Ltd,A1R5I4 - Letter to NEB for amendment of dates
,A1S6X2 - Letter
NOVA Gas Transmission Ltd.,A1S8D8 - 01 NEB Letter s 34 Notices May12 2010
TransCanada Keystone Pipeline GP Ltd.,"A1S8K3 - Letter to TransCanada Keystone Pipeline GP Ltd. regarding Keystone XL Pipeline Project – Certificate OC-56  - Approval of the draft Plan, Profile and Book of Reference, sample Notices for Service and Publi"
Manitoba Hydro,A1S9I6 - Ltr to Utilities courier waybills
TransCanada PipeLines Limited,A1T1E8 - Letter to Nova Gas Transmission - Groundbirch Pipeline Project - Certificate GC-115 - Approval of draft form of PPBoRs - Notice for service and publication
NOVA Gas Transmission Ltd.,A1T1F2 - 2010 06 02  s34 publication change request
NOVA Gas Transmission Ltd.,A1T3Y6 - 2010 06 23 Confirmation of s 34 Dates of Service and Publication
TransCanada Keystone Pipeline GP Ltd.,A1T4T4 - 2010 06 29 Confirmation of Service letter
"EDF Trading North America, LLC",A1T6K6 - Letter
"EDF Trading North America, LLC",A1T6K7 - Notification to Doreen Kole
"EDF Trading North America, LLC",A1T6K8 - Notification to Doug Kaun
"EDF Trading North America, LLC",A1T6K9 - Notification to Ligong Con
"EDF Trading North America, LLC",A1T6L0 - Notification to Gerry Labas
"EDF Trading North America, LLC",A1T6L1 - Notification to Zora Lazic
"EDF Trading North America, LLC",A1T6L2 - Notification to Lance Henderson
"EDF Trading North America, LLC",A1T6L3 - Notification to Paul Coguen
"EDF Trading North America, LLC",A1T6L4 - Notification to Grant Weismiller
British Columbia Transmission Corporation,A1T6L5 - Letter
"EDF Trading North America, LLC",A1T6L6 - Letter
Canadian Niagara Power Inc.,A1T6L7 - Letter
"EDF Trading North America, LLC",A1T6L8 - Notification to Anne-Marie Reily
"EDF Trading North America, LLC",A1T6L9 - Letter
"EDF Trading North America, LLC",A1T6Q0 - Notification to Duane Fecteau
Hydro One Networks Inc.,A1T6Q1 - Notification to Hydro One
"EDF Trading North America, LLC",A1T6Q2 - Notification to Shafee Bachus
"EDF Trading North America, LLC",A1T6Q3 - Notification to Cliff Monar
Independent Electricity System Operator (IESO),A1T6Q4 - Notification to Ken Kozlik
Hydro-Quebec,A1T6Q5 - Notification to Isabelle Courville
Manitoba Hydro,A1T6Q6 - Notification to Ed Tymofichuk
New Brunswick System Operator,A1T6Q7 - Notification to Ross Stairs
"EDF Trading North America, LLC",A1T6Q8 - Notification to Leigh Ann Shoji-Lee
"EDF Trading North America, LLC",A1T6R2 - Cover Letter Proof of Publication
,A1T8E4 - Unit Cost Meeting 9 September 2010
,A1T8T2 - LMCI Action 1.2 - Pipeline Crossings Working Group
,A1U2D1 - LMCI Stream 3 - Pipeline Abandonment Financial Issues - Draft Unit Costs
Marathon Petroleum Company LLC,"A1U6D6 - Letter to Marathon Petroleum Company LLC, Amending Order  AO-1-EBU-40-2010 to reflect the change of company name"
,A1U6W6 - Letter to Pipeline Crossings Working Group Members LMCI Action 1.2
,A1U6W9 - Letter - Public Review Of Arctic Safety And Environmental Offshore Drilling Requirements - Scope Of The Review And How It Will Be Conducted
,A1V8Y3 - Letter to interested parties - Streams 1 and 2
,A1W3X0 - 2011 Rate of Return on Common Equity (ROE) per Discontinued RH-2-94 Formula
Enbridge Pipelines Inc.,A1W9T1 - Letter to All Pipeline Companies Regulated under the National Energy Board Act and All Parties to RH-2-2008 and Participants to 17 November 2009 Technical Conference
,A1X2X0 - Notice of Proposed Regulatory Change (NOPRC) 2011-01 Management Systems
,A1X9D7 - Letter to all Pipeline Companies - NEB s 2011 Landowner Survey
NOVA Gas Transmission Ltd.,A1X9E2 - Letter re Sample Notices for Service and Publication - Horn River Project - Certificate GC-117
,A2-01 Notice of Public Hearing and Application to Participate - NGTL System Expansion Project - A4Q3L8
Alliance Pipeline Ltd,A2-1 - Letter to Alliance Pipeline Ltd. RH-002-2014 - A4A2X4
TransCanada PipeLines Limited,A2-1 - Lettre to TransCanada -- Procedural Matters and Directives - A3L2J6 
NOVA Gas Transmission Ltd.,A2-1 - Notice to NOVA Gas Transmission Ltd. Integration Asset Transfer Project - A3T8T1
,A2-1 - Public Information Sessions NEB regulated companies - Set-Aside and Collection Mechanism filings -A3G8W1
Enbridge Pipelines Inc.,A2-1 Letter to Enbridge - Edmonton to Hardisty Pipeline Project - A3F9G9
Trans Mountain Pipeline Inc.,A20129-1 NEB - Reasons for Decision - Trans Mountain - Cover Letter - RH-4-2008
Enbridge Pipelines Inc.,A22-1 - Letter to All Parties - Providing Written Evidence - A3J5D2
TransCanada PipeLines Limited,A22-1 Letter Procedural Matters and Directives - A4A1L3
Alliance Pipeline Ltd,A23677-1 NEB Update of Financial Regulation of Pipeline Companies under the Board’s Jurisdiction
TransCanada PipeLines Limited,A26-1 - Letter and Procedural Directives - RH-003-2011 - A2T5H3
Trans Mountain Pipeline ULC,A28-1 - Letter to Tsuu T’ina Nation - Trans Mountain Expansion Project - A3W2G7
,A2A2H1 - Process Update for the Inuvik Roundtable Meeting
,A2J4J0 - 2012 Rate of Return on Common Equity per Discontinued RH-2-94 Formula
Trans Mountain Pipeline ULC,"A2K1X5 - Letter to the National Energy Board re TransMountain Firm Service Decision, File No. RH-2-2011, 19 December 2011"
,"A2K1X7 - Letter to the Minister of Transport re Application of SARA, 19 December 2011 (cc National Energy Board)"
Twin Rivers Paper Company Inc,A2L3D9 - Letter regarding Twin Rivers Paper Company Application for Exemption from the Requirement to File Financial Statements - English
New Brunswick System Operator,A2L7J3 - Notification for Utilities of Application for Electricity Export Licence
CP Energy Marketing Inc,A2L7J6 - Notification of Application and Directions on Procedure
New Brunswick System Operator,A2L7J8 - Notification for Utilities of Application for Electricity Export Licence
New Brunswick System Operator,A2L7K3 - Notification for Utilities of Application for Electricity Export Licence
CP Energy Marketing Inc,A2L7K4 - Notification of Application and Directions on Procedure
New Brunswick System Operator,A2L7K6 - Notification for Utilities of Application for Electricity Export Licence
CP Energy Marketing Inc,A2L7K8 - Notification of Application and Directions on Procedure
CP Energy Marketing Inc,A2L7L1 - Notification of Application and Directions on Procedure
CP Energy Marketing Inc,A2Q3V6 - Letter re Proof of Publication in Canadian Gazette Tearsheet Jan 21 12
TransCanada Power Marketing Ltd.,A2Q7V2 - Letter to East Toronto Climate Action Group - Permit EPE-371
TransCanada Power Marketing Ltd.,A2Q7V4 - Letter to Zero Carbon Ontario - Permit EPE-371
Enbridge Pipelines Inc.,A2R0L3 - Letter to NEB - Enbridge Bakken - Sample Section 34 Notices and Media Plan
Vantage Pipeline Canada ULC,"A2T1L7 - Letter to Vantage Pipeline regarding OC-059 Sample Plan, PPBoR, section 34 notices, and proposed Media Plan Pursuant to Sections 33 and 34"
Vantage Pipeline Canada ULC,"A2T4K3 - Revised PPBoR, Sample Section 34 Notices and Publication Plan Letter"
Morgan Stanley Capital Group Inc,A2T5Q5 - Letter
NOVA Gas Transmission Ltd.,A2T5R7 - AltaGas Ltd. Request for Intervenor Status
Emera Energy Inc,A2T8G8 - Letter - proof of publication 
NOVA Gas Transmission Ltd.,A2T8V1 - Letter to the Government of Beaver Lake regarding submission dated 28 May 2012
NOVA Gas Transmission Ltd.,A2T8X2 - 01 - Cover Letter s34 Notices NWML
NOVA Gas Transmission Ltd.,A2T8X3 - 02 - Attachment 1 Divider - Landowner Notice English
NOVA Gas Transmission Ltd.,A2T8X4 - 03 - Notice to Landowner - English
,A2T8X5 - 04 - Attachment 1 to English Landowner Notice - Overview Map
NOVA Gas Transmission Ltd.,A2T8X6 - 05 - Attachment 2 to English Landowner Notice - Cranberry Map
NOVA Gas Transmission Ltd.,A2T8X7 - 06 - Attachment 2 to English Landowner Notice - Kyklo Map
NOVA Gas Transmission Ltd.,A2T8X8 - 07 - Attachment 2 to English Landowner Notice - Timberwolf Map
NOVA Gas Transmission Ltd.,A2T8Y5 - 14 - Attachment 3 Divider - Sample Public Notices
NOVA Gas Transmission Ltd.,A2T8Y6 - 15 - Public Notice - English
,A2T8Y9 - 18 - Cranberry BoR English - Sample Sheet 1
,A2T8Z0 - 19 - Kyklo BoR English - Sample Sheet 2
,A2T8Z1 - 20 - Timberwolf BoR English - Sample Sheet 3
Vantage Pipeline Canada ULC,"A2T9T2 - Letter to Vantage Pipeline Canada - Certificate OC-059 - Draft PPBoR, Media Plans and Proposed Minor Route Adjustments"
,A2U0X1 - Lettre envoyée à Encana Corporation et Veresen Energy Infrastructure Inc autorisant la vente et l’achat des pipelines Tupper
NOVA Gas Transmission Ltd.,A2U4C5 - NGTL Approval of draft form of PPBoRs and Sample Notice for Publication
Vantage Pipeline Canada ULC,A2U5R0 - Letter to NEB re Notice of Service and Publication
,"A2U9R3 - Letter - Jobs, Growth and Long-term Prosperity Act - Establishment of time limits for section 52, 58, and 58.16 applications"
,"A2V0F4 - Jobs, Growth and Long-term Prosperity Act - Canadian Environmental Assessment Act, 2012"
NOVA Gas Transmission Ltd.,A3-1 - Notice of Public Hearing and Application to Participate update - A3U1I4
TransCanada PipeLines Limited,A3-1 Letter to NGTL re Hearing Order GH-001-2014 - A3T7U8
TransCanada PipeLines Limited,A3-1 Notice and Application to Participate to TransCanada  Pipelines Limited - A3V9Z5
Trans Mountain Pipeline ULC,A3-20 - Letter to T Sou-ke First Nation (Sooke) - A3K2K6
,A32-1 - Introduction of the Process Advisory Team A1Z0T9
NOVA Gas Transmission Ltd.,A32 - Response to Chard Métis Local No. 214 Notice of Motion - A2S9E8 
,A33-1 - Hearing Order OH-4-2011 - Questions and Answers A1Z0U5
,A346-1 - Panel-Commission - Potential Conditions – Cover Letter - A3G7W7
,A346-3 - Panel-Commission - Attachment A - Conditions – Questions and Answers - A3G7W9
LNG Canada Development Inc.,A3A4H6 - LNG Canada Development Inc. Application for a Licence to Export LNG
NOVA Gas Transmission Ltd.,A3A6A1 - Letter to NOVA Gas Transmission Ltd. - Leismer to Kettle River Crossover - Approval of Draft PPBoR and Notices
Enbridge Pipelines Inc.,A3C2H4 - Letter to NEB -  Line 9B Reversal Pre-Application Information
TransCanada PipeLines Limited,A3C5J0 - Recommendations to the Board by the Land Matters Group Public Involvement Workshop Sub-Committee
,A3E1H8 - Letter
